    z           x_e           tau
 3.91  9.318182E-01  2.159257E-02
 3.92  9.318182E-01  2.166619E-02
 3.93  9.318182E-01  2.173989E-02
 3.94  9.318182E-01  2.181367E-02
 3.95  9.318182E-01  2.188753E-02
 3.96  9.318182E-01  2.196146E-02
 3.97  9.318182E-01  2.203547E-02
 3.98  9.318182E-01  2.210956E-02
 3.99  9.318182E-01  2.218373E-02
 4.00  9.318182E-01  2.225798E-02
 4.01  9.318182E-01  2.233230E-02
 4.02  9.318182E-01  2.240671E-02
 4.03  9.318182E-01  2.248119E-02
 4.04  9.318182E-01  2.255575E-02
 4.05  9.318182E-01  2.263038E-02
 4.06  9.318182E-01  2.270510E-02
 4.07  9.318182E-01  2.277989E-02
 4.08  9.318182E-01  2.285476E-02
 4.09  9.318182E-01  2.292970E-02
 4.10  9.318182E-01  2.300472E-02
 4.11  9.318182E-01  2.307982E-02
 4.12  9.318182E-01  2.315500E-02
 4.13  9.318182E-01  2.323025E-02
 4.14  9.318182E-01  2.330558E-02
 4.15  9.318182E-01  2.338099E-02
 4.16  9.318182E-01  2.345648E-02
 4.17  9.318182E-01  2.353204E-02
 4.18  9.318182E-01  2.360767E-02
 4.19  9.318182E-01  2.368339E-02
 4.20  9.318182E-01  2.375917E-02
 4.21  9.318182E-01  2.383504E-02
 4.22  9.318182E-01  2.391098E-02
 4.23  9.318182E-01  2.398700E-02
 4.24  9.318182E-01  2.406309E-02
 4.25  9.318182E-01  2.413926E-02
 4.26  9.318182E-01  2.421550E-02
 4.27  9.318182E-01  2.429182E-02
 4.28  9.318182E-01  2.436822E-02
 4.29  9.318182E-01  2.444469E-02
 4.30  9.318182E-01  2.452124E-02
 4.31  9.318182E-01  2.459786E-02
 4.32  9.318182E-01  2.467456E-02
 4.33  9.318182E-01  2.475133E-02
 4.34  9.318182E-01  2.482817E-02
 4.35  9.318182E-01  2.490510E-02
 4.36  9.318182E-01  2.498209E-02
 4.37  9.318182E-01  2.505916E-02
 4.38  9.318182E-01  2.513631E-02
 4.39  9.318182E-01  2.521353E-02
 4.40  9.318182E-01  2.529083E-02
 4.41  9.318182E-01  2.536820E-02
 4.42  9.318182E-01  2.544564E-02
 4.43  9.318182E-01  2.552316E-02
 4.44  9.318182E-01  2.560075E-02
 4.45  9.318182E-01  2.567842E-02
 4.46  9.318182E-01  2.575616E-02
 4.47  9.318182E-01  2.583397E-02
 4.48  9.318182E-01  2.591186E-02
 4.49  9.318182E-01  2.598982E-02
 4.50  9.318182E-01  2.606786E-02
 4.51  9.318182E-01  2.614597E-02
 4.52  9.318182E-01  2.622415E-02
 4.53  9.318182E-01  2.630241E-02
 4.54  9.318182E-01  2.638074E-02
 4.55  9.318182E-01  2.645914E-02
 4.56  9.318182E-01  2.653762E-02
 4.57  9.318182E-01  2.661617E-02
 4.58  9.318182E-01  2.669479E-02
 4.59  9.318182E-01  2.677348E-02
 4.60  9.318182E-01  2.685225E-02
 4.61  9.318182E-01  2.693109E-02
 4.62  9.318182E-01  2.701001E-02
 4.63  9.318182E-01  2.708899E-02
 4.64  9.318182E-01  2.716805E-02
 4.65  9.318182E-01  2.724718E-02
 4.66  9.318182E-01  2.732639E-02
 4.67  9.318182E-01  2.740566E-02
 4.68  9.318182E-01  2.748501E-02
 4.69  9.318182E-01  2.756443E-02
 4.70  9.318182E-01  2.764393E-02
 4.71  9.318182E-01  2.772349E-02
 4.72  9.318182E-01  2.780313E-02
 4.73  9.318182E-01  2.788284E-02
 4.74  9.318182E-01  2.796262E-02
 4.75  9.318182E-01  2.804247E-02
 4.76  9.318182E-01  2.812240E-02
 4.77  9.318182E-01  2.820239E-02
 4.78  9.318182E-01  2.828246E-02
 4.79  9.318182E-01  2.836260E-02
 4.80  9.318182E-01  2.844281E-02
